period,date,winningNumber
2004001,2004-11-14,9288
2004002,2004-11-16,1738
2004003,2004-11-19,1832
2004004,2004-11-21,4324
2004005,2004-11-22,5415
2004006,2004-11-23,2622
2004007,2004-11-24,3074
2004008,2004-11-25,2269
2004009,2004-11-26,4180
2004010,2004-11-27,2746
2004011,2004-11-28,3641
2004012,2004-11-29,3056
2004013,2004-11-30,0323
2004014,2004-12-01,3591
2004015,2004-12-02,5987
2004016,2004-12-03,4451
2004017,2004-12-04,1931
2004018,2004-12-05,1299
2004019,2004-12-06,7114
2004020,2004-12-07,1093
2004021,2004-12-08,3938
2004022,2004-12-09,5919
2004023,2004-12-10,8719
2004024,2004-12-11,8867
2004025,2004-12-12,6186
2004026,2004-12-13,6217
2004027,2004-12-14,3633
2004028,2004-12-15,0751
2004029,2004-12-16,2561
2004030,2004-12-17,1206
2004031,2004-12-18,3621
2004032,2004-12-19,3787
2004033,2004-12-20,5050
2004034,2004-12-21,9952
2004035,2004-12-22,3748
2004036,2004-12-23,0090
2004037,2004-12-24,3259
2004038,2004-12-25,4253
2004039,2004-12-26,8021
2004040,2004-12-27,5664
2004041,2004-12-28,8140
2004042,2004-12-29,7802
2004043,2004-12-30,7043
2004044,2004-12-31,3821
2005001,2005-01-01,0549
2005002,2005-01-02,3661
2005003,2005-01-03,4313
2005004,2005-01-04,6747
2005005,2005-01-05,2995
2005006,2005-01-06,4205
2005007,2005-01-07,4351
2005008,2005-01-08,2812
2005009,2005-01-09,8698
2005010,2005-01-10,4167
2005011,2005-01-11,2045
2005012,2005-01-12,1966
2005013,2005-01-13,6132
2005014,2005-01-14,0854
2005015,2005-01-15,3674
2005016,2005-01-16,6657
2005017,2005-01-17,1574
2005018,2005-01-18,0559
2005019,2005-01-19,5747
2005020,2005-01-20,9224
2005021,2005-01-21,0014
2005022,2005-01-22,9382
2005023,2005-01-23,0802
2005024,2005-01-24,3125
2005025,2005-01-25,7559
2005026,2005-01-26,2771
2005027,2005-01-27,0144
2005028,2005-01-28,8620
2005029,2005-01-29,6287
2005030,2005-01-30,4592
2005031,2005-01-31,5040
2005032,2005-02-01,3618
2005033,2005-02-02,5909
2005034,2005-02-03,1863
2005035,2005-02-04,8302
2005036,2005-02-05,9423
2005037,2005-02-06,7084
2005038,2005-02-07,3196
2005039,2005-02-08,0288
2005040,2005-02-16,0479
2005041,2005-02-17,1338
2005042,2005-02-18,2341
2005043,2005-02-19,8458
2005044,2005-02-20,9559
2005045,2005-02-21,4006
2005046,2005-02-22,5453
2005047,2005-02-23,4291
2005048,2005-02-24,7610
2005049,2005-02-25,7909
2005050,2005-02-26,1041
2005051,2005-02-27,2476
2005052,2005-02-28,3068
2005053,2005-03-01,1753
2005054,2005-03-02,5190
2005055,2005-03-03,0144
2005056,2005-03-04,6002
2005057,2005-03-05,8132
2005058,2005-03-06,3534
2005059,2005-03-07,9836
2005060,2005-03-08,9606
2005061,2005-03-09,9122
2005062,2005-03-10,7966
2005063,2005-03-11,1816
2005064,2005-03-12,9695
2005065,2005-03-13,8952
2005066,2005-03-14,6267
2005067,2005-03-15,1691
